,title,description,date,tag
0,Quienes apostaron contra Nvidia ya perdieron USD 5.000 millones," Las acciones de Nvidia se dispararon un 156% desde el mínimo de octubre de 2022 hasta la actualidad, permitiendo que la compañía gane más de USD 400.000 millones de capitalización bursátil. Este comportamiento alcista benefició considerablemente a los inversores que apostaron a su favor, pero hirió gravemente a los operadores que adoptaron una estrategia bajista. Según la consultora de datos S3 Partners, los vendedores en corto de Nvidia perdieron USD 5.090 millones en lo que va de 2023, periodo en el que la tecnológica se revalorizó un 86%, aproximadamente. Por este motivo, el interés corto en Nvidia se redujo en 7,04 millones de acciones, o un 18%, en estos primeros cuatro meses del año. Actualmente, el interés corto ronda el 1,32% del flotante, el nivel más bajo desde octubre de 2022. El cambio de visión de los traders de Wall Street tiene sentido, ya que el potencial de la empresa no hace más que aumentar con el paso del tiempo, en especial teniendo en cuenta el apoyo de importantes entidades financieras. Por ejemplo, Frank Lee, jefe de Tecnología de HSBC, elevó el precio objetivo de las acciones de Nvidia hasta los USD 355 por el segmento de inteligencia artificial (IA) que impulsaría las ventas. Según su análisis, los chips de IA contrarrestan los vientos en contra de los ingresos de centros de datos debido a que prácticamente cambian el modelo de ventas. ""En particular, estamos sorprendidos por el poder de fijación de precios de Nvidia en los chips de IA que vemos impulsando las ganancias al alza y una mayor valoración"", comentó. Invertir en Nvidia desde ArgentinaPara aquellos interesados, desde Argentina se puede invertir en Nvidia de manera rápida y sencilla. Solo basta con abrir una cuenta comitente en una sociedad de bolsa regulada por la Comisión Nacional de Valores como lo es Bull Market Brokers, proceso gratuito que no llevará más de cinco minutos, y, tras depositar los fondos deseados, adquirir Cedears. Los Cedears o Certificados de Depósito Argentinos son instrumentos que equivalen a comprar la acción subyacente que cotiza en el exterior (NASDAQ: NVDA), pero se pueden operar en pesos (BCBA: NVDA) y siguen la evolución del dólar CCL, por lo que permiten evadir el riesgo argentino y, a la vez, cubrirse de un eventual salto cambiario. ",2023-05-04,Empresas
1,Los beneficios de Barrick Gold se redujeron a casi la mitad," Barrick Gold, la minera centrada en la extracción de oro a cielo abierto más grande del mundo, informó los balances de los tres primeros meses de 2023. En primer lugar, la compañía canadiense registró ingresos por USD 2.643 millones, lo que representa una baja del 7% frente a la cifra del mismo periodo de 2022, pero un ""efecto sorpresa positivo"" del 1% contra las estimaciones de Wall Street. A su vez, la ganancia neta ajustada se desplomó un 47% año a año hasta los USD 247 millones, generando un beneficio por acción (EPS, por su sigla en inglés) de USD 0,14, cuando la proyección de los analistas era de USD 0,11. Barrick Gold también reportó que la producción de oro fue de 952.000 onzas y la de cobre llegó a los 88 millones de libras. En el primer trimestre del año pasado, la producción fue de 990.000 onzas y 101 millones de libras, respectivamente. En el comunicado para accionistas, la empresa también declaró un dividendo de USD 0,10 por acción a pagar el próximo 15 de junio. Contemplando la cotización actual de las acciones, la renta brinda una tasa anual del 2%, aproximadamente. ""A través del mantenimiento de un balance sólido, podemos continuar brindando un sólido dividendo base a nuestros accionistas, con nuestra política de dividendos por desempeño que brinda a los accionistas el potencial de crecimiento adicional en el futuro"", expresó Graham Shuttleworth, director financiero de Barrick Gold. Invertir en Barrick Gold desde ArgentinaPara aquellos interesados, desde Argentina se puede invertir en Barrick Gold de manera rápida y sencilla. Solo basta con abrir una cuenta comitente en una sociedad de bolsa regulada por la Comisión Nacional de Valores como lo es Bull Market Brokers, proceso gratuito que no llevará más de cinco minutos, y, tras depositar los fondos deseados, adquirir Cedears. Los Cedears o Certificados de Depósito Argentinos son instrumentos que equivalen a comprar la acción subyacente que cotiza en el exterior (NYSE: GOLD), pero se pueden operar en pesos (BCBA: GOLD) y siguen la evolución del dólar CCL, por lo que permiten evadir el riesgo argentino y, a la vez, cubrirse de un eventual salto cambiario. ",2023-05-04,Empresas
2,Qualcomm defraudó al mercado y sus acciones cayeron," Qualcomm, la empresa estadounidense de microprocesadores, informó los balances trimestrales de la primera parte del año, impulsando a la baja el precio de sus acciones. Concretamente, la tecnológica anunció ventas por USD 9.275 millones, lo que representa una caída interanual del 17% y una cifra alineada con las expectativas de Wall Street. En tanto, el beneficio total neto cayó año a año un 34% hasta los USD 2.420 millones, generando una ganancia por acción ajustada de USD 2,15, contra los USD 2,18 proyectados por los analistas e inversores. A través de un comunicado para accionistas, Cristiano Amon, presidente y director ejecutivo de Qualcomm, expresó: ""A medida que navegamos por este entorno desafiante, seguimos enfocados en los factores críticos que podemos controlar para salir fortalecidos de esta recesión: nuestra hoja de ruta de tecnología líder, la mejor cartera de productos de su clase, relaciones sólidas con los clientes y eficiencias operativas"". ""Nuestra principal prioridad sigue siendo ejecutar nuestra estrategia de diversificación e invertir en áreas que generen valor a largo plazo"", añadió el alto ejecutivo. Tras la presentación de resultados financieros, las acciones del fabricante electrónico bajaron más de un 2% en la rueda posmercado. De esta forma, en el último año, acumulan un retroceso del 22%. Invertir en Qualcomm desde ArgentinaPara aquellos interesados, desde Argentina se puede invertir en Qualcomm de manera rápida y sencilla. Solo basta con abrir una cuenta comitente en una sociedad de bolsa regulada por la Comisión Nacional de Valores como lo es Bull Market Brokers, proceso gratuito que no llevará más de cinco minutos, y, tras depositar los fondos deseados, adquirir Cedears. Los Cedears o Certificados de Depósito Argentinos son instrumentos que equivalen a comprar la acción subyacente que cotiza en el exterior (NASDAQ: QCOM), pero se pueden operar en pesos (BCBA: QCOM) y siguen la evolución del dólar CCL, por lo que permiten evadir el riesgo argentino y, a la vez, cubrirse de un eventual salto cambiario. ",2023-05-04,Empresas
3,La ganancia de Mercado Libre se disparó un 200%," Mercado Libre, la compañía argentina de comercio electrónico y pagos digitales, informó los resultados financieros del primer trimestre de 2023, en los cuales se refleja un explosivo crecimiento. En primer lugar, registró ingresos por USD 3.037 millones, un 35% más que en el mismo periodo del año anterior y un 2% más que lo estimado por los analistas e inversores de Wall Street. A su vez, la ganancia neta se disparó un 200% año a año hasta los USD 201 millones, generando un beneficio por acción (EPS, por su sigla en inglés) ajustado de USD 3,97, cuando el consenso del mercado era de USD 2,11. Por otro lado, los usuarios únicos activos de Mercado Libre pasaron de los 81 millones del primer trimestre de 2022 a los actuales 101 millones, mientras que el volumen bruto de mercadería pasó de los USD 7.665 millones a los USD 9.434 millones. En tanto, la cantidad de productos vendidos exitosamente se incrementó un 16% hasta los 309 millones, a la vez que el volumen total de pagos aumentó hasta los USD 36.986 millones. ""Mercado Libre ha tenido un buen comienzo de año, con un desempeño alentador en todo el negocio. Nuestros resultados del primer trimestre de 2023 demuestran una vez más nuestro compromiso y nuestra capacidad para lograr un crecimiento de las ganancias junto con una rápida expansión de los ingresos"", comentaron desde la compañía. ""A medida que el negocio continúa escalando, seguimos enfocados en fortalecer la eficiencia operativa para que nuestro crecimiento a largo plazo, que sigue siendo nuestra principal prioridad, sea rentable de manera sostenible"", añadieron. Luego de la presentación, las acciones de Mercado Libre crecieron un 4% en la negociación posmercado hasta superar los USD 1.330. Invertir en Mercado LibrePara aprovechar estos movimientos, desde Argentina se puede invertir en Mercado Libre de manera rápida y sencilla. Solo basta con abrir una cuenta comitente en una sociedad de bolsa regulada por la Comisión Nacional de Valores como lo es Bull Market Brokers, proceso gratuito que no llevará más de cinco minutos, y, tras depositar los fondos deseados, adquirir Cedears. Los Cedears o Certificados de Depósito Argentinos son instrumentos que equivalen a comprar la acción subyacente que cotiza en el exterior (NASDAQ: MELI), pero se pueden operar en pesos (BCBA: MELI) y siguen la evolución del dólar CCL, por lo que permiten evadir el riesgo argentino y, a la vez, cubrirse de un eventual salto cambiario. ",2023-05-04,Empresas
4,Marcos Galperín apostó al rugby y compró una franquicia," Marcos Galperin, dueño de Mercado Libre, quién ha demostrado tener un gran liderazgo en comercio virtual en la región, fundó a los Miami Sharks, un club de rugby que militará en la Major League de Estados Unidos. De acuerdo a trascendidos, el CEO del unicornio argentino accedió a la compra de esta franquicia junto a un grupo de amigos por la suma de u$s6,5 millones. “Es un deporte menor en este país, pero está creciendo: si uno mira lo que sucedió con el fútbol, hace 20 años, el fútbol era un deporte muy pequeño en EE.UU. y hoy es un gran deporte”, relató Galperin. Y agregó: “Apple acaba de pagar miles de millones de dólares para transmitir la Major League Soccer, ¿cierto? Y creemos que algo parecido puede pasar con el rugby en las próximas dos décadas”. Por otro lado, el empresario señaló que, aunque pasa mucho tiempo en Miami, no tiene ninguna propiedad allí y seguirá residiendo en Uruguay, donde vive desde hace más de 20 años. En tanto, Mercado Libre informó que buscan empleados en Argentina para ampliar sus áreas. La compañía que conduce Marcos Galperín ofrece la oportunidad de sumar 800 nuevos puestos de trabajo para interesados con formación en diversas carreras, como Ingeniería o Marketing. Entre los requisitos básicos, la compañía busca que los postulantes tengan experiencia en puestos similares y habilidades en idiomas, entre otras. ",2023-05-03,Empresas
5,"Estas dos empresas argentinas pagarán dividendos ""especiales"""," A través de un comunicado dirigido a sus accionistas, Loma Negra y Telecom Argentina anunciaron que realizarán un pago de dividendos en especies para compensar a los inversores durante este trimestre. En primer lugar, Telecom Argentina informó que repartirá un total aproximado de $47.700 millones en Bonos Globales de la República Argentina amortizables en dólares con vencimiento en 2030 (GD30); por un valor nominal de USD 411 millones, a una relación de USD 0,19 por cada acción de valor nominal $1, lo que representa el 2.215% sobre el capital social en circulación. Por otro lado, Loma Negra dio a conocer que distribuirá $22.200 millones en Letras del Tesoro Nacional en pesos a descuento con vencimiento en junio de 2023 (S30J3); por un total de 25.590 millones de Letras, aproximadamente, a una relación de 43,85 activos por cada acción de valor nominal $0,10, representando el 38.047% sobre el capital social en circulación. En ambos casos, mientras que los inversores locales recibirán las tenencias en Caja de Valores, los tenedores de ADRs de la compañía obtendrán las distribuciones a través de JP Morgan. Tras los anuncios, las acciones de Telecom subieron un 2,6% en Wall Street. A su vez, las de Loma Negra crecieron un 0,8%. Invertir en empresas argentinasPara invertir en estas empresas argentinas y así cobrar sus dividendos, solo basta con abrir una cuenta comitente en una sociedad de bolsa regulada por la Comisión Nacional de Valores (CNV) como Bull Market Brokers. Posteriormente, es necesario transferir los fondos deseados desde una cuenta bancaria del mismo titular o desde la billetera digital BullPay y dirigirse al panel líder, en donde estarán disponibles bajo los tickers ""LOMA"" y ""TECO2"". ",2023-05-03,Empresas
6,Vista avanza en su plan de Vaca Muerta ¿De qué se trata esto?," La empresa argentina Vista Oil & Gas, liderada por el empresario Miguel Galuccio, informó recientemente que durante el primer trimestre de 2023 exportó el 58% de su producción de petróleo y gas, lo que representa un aumento significativo en comparación con el 12% de sus exportaciones en el mismo período del año anterior. La empresa también anunció la aceleración de su plan de inversión en Vaca Muerta, la formación de shale gas y petróleo más grande de Argentina, con el objetivo de aumentar su producción y ampliar su presencia en el mercado internacional. El plan de inversión se centrará en la adquisición de nuevos equipos de perforación y en el desarrollo de infraestructura, con el objetivo de aumentar la producción de petróleo y gas en un 20% para finales de este año. Galuccio, CEO de Vista Oil & Gas, destacó la importancia de la aceleración del plan de inversión en Vaca Muerta para la empresa y para el país. Según él, ""Vaca Muerta es una oportunidad única para Argentina de lograr la autosuficiencia energética y convertirse en un jugador relevante en el mercado energético internacional"". Además, la empresa planea expandirse a otros países de la región, con el objetivo de diversificar su cartera de activos y consolidarse como una empresa líder en la producción de hidrocarburos en América Latina. Con una estrategia sólida y una visión a largo plazo, Vista Oil & Gas se posiciona como una de las empresas más importantes en el sector energético de Argentina y de la región. Invertir en Vista desde ArgentinaPara invertir en Vista desde Argentina, solo basta con abrir una cuenta comitente en una sociedad de Bolsa regulada por la Comisión Nacional de Valores como Bull Market Brokers, proceso gratuito que no llevará más de cinco minutos, y, tras depositar los fondos deseados desde una cuenta bancaria del mismo titular, adquirir Cedears. Los Cedears o Certificados de Depósito Argentinos son instrumentos que equivalen a comprar la acción subyacente que cotiza en el exterior (NYSE: VISTA), pero se pueden operar en pesos (BCBA: VISTA) y siguen la evolución del Dólar CCL, por lo que permiten evadir el riesgo argentino y, a la vez, cubrirse de un eventual salto cambiario. ",2023-05-03,Empresas
7,¿Cambio de estrategia?: Tesla aumentó los precios de sus vehículos," Tesla, el fabricante de vehículos eléctricos más grande del mundo, con una capitalización bursátil de aproximadamente USD 508.000 millones, anunció una suba de precios en sus dos modelos estrella. Específicamente, ahora los coches Model 3 y Model Y aumentaron USD 250 hasta los USD 40.240 y USD 47.240 en Estados Unidos, respectivamente. En China, estos vehículos subieron 2.000 yuanes y cuestan 231.900 yuanes y 263.900 yuanes, en ese orden. Se trata del segundo aumento desde que Tesla registró el margen de utilidad bruta automotriz más bajo en casi tres años. Luego de su informe de resultados financieros del primer trimestre de 2023, los precios de los Model S y X crecieron en USD 2.500 en Estados Unidos. No obstante, estos incrementos son insignificantes en comparación con los fuertes recortes del último año. Solo en 2023, se redujeron seis veces, haciendo que el Model 3 básico pasara de USD 63.000 a USD 40.000 y los Model S y Model X bajaran un 20%. Durante una charla con accionistas, el propio Musk explicó que seguirá tratando de alejar a los fabricantes de coches convencionales mediante una estrategia de precios, aún sacrificando margen de beneficio. ""Consideramos que impulsar volúmenes más altos y una flota más grande es la opción correcta aquí frente a un volumen más bajo y un margen más alto"", sostuvo el magnate. ""Los recortes de precios que Tesla ya ha implementado a nivel mundial han catalizado la demanda en un 30% desde el principio"", dijo Dan Ives, analista y director en Wedbush Securities. ""Se está desarrollando una carrera armamentista de vehículos eléctricos y Tesla tiene los márgenes para hacer recortes de precios y aún estar muy por encima de otros fabricantes de automóviles. En esta nubosidad económica, Tesla necesita quitarse la curita y reducir los precios y a la calle le gustará esto"", añadió. Invertir en Tesla desde ArgentinaPara aquellos interesados, desde Argentina se puede invertir en Tesla de manera rápida y sencilla. Solo basta con abrir una cuenta comitente en una sociedad de bolsa regulada por la Comisión Nacional de Valores como lo es Bull Market Brokers, proceso gratuito que no llevará más de cinco minutos, y, tras depositar los fondos deseados, adquirir Cedears. Los Cedears o Certificados de Depósito Argentinos son instrumentos que equivalen a comprar la acción subyacente que cotiza en el exterior (NASDAQ: TSLA), pero se pueden operar en pesos (BCBA: TSLA) y siguen la evolución del dólar CCL, por lo que permiten evadir el riesgo argentino y, a la vez, cubrirse de un eventual salto cambiario. ",2023-05-02,Empresas
8,Las ganancias de AMD cayeron un 40% en el primer trimestre," Advanced Micro Devices (AMD), la compañía estadounidense centrada en la fabricación de microprocesadores, informó los resultados financieros del primer trimestre de 2023. En primer lugar, la tecnológica registró ingresos por un total de USD 5.353 millones, una cifra un 1% más alta que la estimada por los analistas de Wall Street, pero un 9% más baja que la reportada en el mismo periodo del año anterior. A su vez, la ganancia neta se redujo un 39% año a año hasta los USD 970 millones, generando un beneficio por acción (EPS, por su sigla en inglés) ajustado de USD 0,60, cuando las estimaciones del mercado eran de USD 0,56. Asimismo, el margen bruto cayó 3 puntos porcentuales interanualmente hasta el 50%, mientras que el margen operativo retrocedió 10 puntos hasta el 21%. ""Tuvimos un desempeño muy bueno en el primer trimestre, ya que obtuvimos ingresos y ganancias mejores de lo esperado en un entorno de demanda mixta"", dijo Lisa Su, presidenta y directora ejecutiva de AMD. ""Lanzamos múltiples productos de liderazgo y logramos un progreso significativo acelerando nuestra hoja de ruta de IA y compromisos con los clientes en el trimestre. A más largo plazo, vemos importantes oportunidades de crecimiento a medida que entregamos con éxito nuestras hojas de ruta, ejecutamos nuestro centro de datos estratégico y prioridades integradas y aceleramos la adopción de nuestra cartera de IA"", añadió. Luego de los balances, las acciones de AMD cayeron más de un 4% en la rueda poscierre. Invertir en AMD desde ArgentinaPara aquellos interesados, desde Argentina se puede invertir en AMD de manera rápida y sencilla. Solo basta con abrir una cuenta comitente en una sociedad de bolsa regulada por la Comisión Nacional de Valores como lo es Bull Market Brokers, proceso gratuito que no llevará más de cinco minutos, y, tras depositar los fondos deseados, adquirir Cedears. Los Cedears o Certificados de Depósito Argentinos son instrumentos que equivalen a comprar la acción subyacente que cotiza en el exterior (NASDAQ: AMD), pero se pueden operar en pesos (BCBA: AMD) y siguen la evolución del dólar CCL, por lo que permiten evadir el riesgo argentino y, a la vez, cubrirse de un eventual salto cambiario. ",2023-05-02,Empresas
9,El First Republic Bank finalmente será intervenido y rescatado por el JPMorgan," El banco First Republic Bank, con sede en San Francisco, ha sido intervenido y será rescatado por el JPMorgan Chase Bank. La medida ha sido tomada por la Junta de Gobernadores del Sistema de la Reserva Federal, la Corporación Federal de Seguros de Depósitos y el Departamento de Negocios e Industria de California. El banco ha experimentado dificultades financieras debido a su exposición a la deuda corporativa y al aumento de la inflación. Se trata del tercer banco de Estados Unidos en quebrar y se cree que la noticia podría impulsar nuevos problemas de liquidez para el sistema financiero. Recordemos que los primeros en hacerlo fueron Silicon Valley Bank y Signature Bank, lo que provocó una preocupación colectiva por la posibilidad de que más bancos similares no sobrevivan por su exposición crediticia, causando una corrida bancaria y problemas de liquidez graves. El First Republic Bank, fundado en 1985 y considerado por la Reserva Federal en el puesto 14 de bancos más importantes de Estados Unidos, se especializaba en servicios bancarios privados para individuos de alto patrimonio y pequeñas empresas. Según información de la Federal Deposit Insurance Corporation (FDIC en inglés), el banco contaba con más de 100 oficinas en Estados Unidos y administra más de 200 mil millones de dólares en activos y 104.000 millones de dólares en depósitos totales. JPMorgan Chase Bank, uno de los mayores bancos de Estados Unidos, ha acordado proporcionar financiamiento para estabilizar las operaciones del First Republic Bank y proteger a los depositantes y acreedores del banco. En un comunicado de prensa, JPMorgan Chase Bank ha declarado: “estamos comprometidos a ayudar a los clientes del First Republic Bank a mantener sus operaciones bancarias sin interrupciones durante este período de transición”. La intervención del First Republic Bank se produce en un momento de gran incertidumbre económica en Estados Unidos, con un aumento de la inflación y una fuerte volatilidad en los mercados financieros. La intervención del banco es un recordatorio de los riesgos que existen en el sistema financiero y de la necesidad de una regulación y supervisión adecuadas para proteger a los depositantes y garantizar la estabilidad del sistema. ",2023-05-02,Empresas
