,title,description,date,tag
0,Este Cedear está perdiendo su potencial de crecimiento," Desde el mínimo de 2020 hasta la actualidad, las acciones de Boeing ya se recuperaron un 132%, y desde el último mínimo de corto plazo, un 82%. Desafortunadamente, los expertos consideran que el potencial de crecimiento ya está completamente descontado. Concretamente, los estrategas de Morgan Stanley indicaron que el fabricante de aviones está ""dejando atrás un periodo rico en catalizadores"", ya que los beneficios de las autorizaciones regulatorias vinculadas a dos de sus aviones desaparecen y los desafíos de la cadena de suministro persisten. Por este motivo, los analistas rebajaron la calificación de las acciones de Boeing de ""comprar"" a simplemente ""retener"", aunque elevaron el precio objetivo desde USD 213 a USD 220, lo que implicaría un alza de alrededor del 7% desde la cotización actual. ""2021 y 2022 fueron períodos ricos en catalizadores para Boeing, ya que la compañía superó importantes obstáculos regulatorios y operativos relacionados con los dos programas de mayor generación de efectivo en su cartera, el 737 MAX y el 787"", sostuvieron los especialistas. ""Con el alivio regulatorio que allanó el camino para reiniciar las entregas de 737 MAX y 787 y con ambos programas ejecutándose ahora hacia tasas de producción más normalizadas, el mercado parece estar valorando casi por completo la capacidad de Boeing para cumplir con sus objetivos de USD 10.000 millones para 2025/2026 en flujo de caja libre con tasas de producción de 737 MAX de 50 por mes y tasas de producción de 787 de 10 por mes"", añadieron. Por esta razón, esperan que las acciones de la empresa se muevan de acuerdo a su flujo de caja libre, considerando que su cadena de suministro es un ""cuello de botella"" por los aumentos de la producción y las entregas de aeronaves que serán cruciales para generar dinero. Invertir en Boeing desde ArgentinaPara invertir en Boeing desde Argentina, solo basta con abrir una cuenta comitente en una sociedad de Bolsa regulada por la Comisión Nacional de Valores como Bull Market Brokers, proceso gratuito que no llevará más de cinco minutos, y, tras depositar los fondos deseados desde una cuenta bancaria del mismo titular, adquirir Cedears. Los Cedears o Certificados de Depósito Argentinos son instrumentos que equivalen a comprar la acción subyacente que cotiza en el exterior (NYSE: BA), pero se pueden operar en pesos (BCBA: BA) y siguen la evolución del dólar CCL, por lo que permiten evadir el riesgo argentino y, a la vez, cubrirse de un eventual salto cambiario. ",2023-01-10,Empresas
1,Aluar avanza en la construcción de un parque eólico," Aluar comenzó las obras correspondientes a la IV Etapa de su Parque Eólico, con la construcción de las bases de los próximos aerogeneradores que se instalarán, tareas de apertura de caminos y tendido de cables de las redes de media tensión. La Etapa IV contará con 18 aerogeneradores del tipo V150 de potencia unitaria 4.5 MW y una potencia total de dicha etapa de 81 MW, siendo la potencia final del parque (incluyendo las 4 etapas) de 245MW con un total de 63 equipos. Los aerogeneradores alcanzan 126 metros de altura hasta el eje del rotor, tienen un largo de pala de 68 metros y un peso total aproximado de 575 toneladas. La IV y última etapa completará la obra que da cumplimiento a la Ley 27.191 de ""Régimen de Fomento Nacional para el uso de Fuentes Renovables de energía” que entre sus aspectos fundamentales establece que los Grandes Usuarios del Mercado Eléctrico Mayorista, como lo es Aluar, deben cumplir al 31 de diciembre de 2025 con el 20% de demanda de energía eléctrica del Mercado Eléctrico Mayorista (MEM) con fuentes de energía renovable. La obra, que finalizará en diciembre del 2023 y está siendo gerenciada por Infa S.A. en el predio ubicado en el noroeste de la intersección de RN 3 y RP 4, a unos 20 km de la ciudad de Puerto Madryn, en los predios de la Estancia “El Llano”. Recordemos que en octubre, la compañía firmó una carta de intención con el Estado nacional para la provisión de suministro eléctrico que facilite la reactivación y el desarrollo sustentable de la cadena de valor del aluminio primario. De esta manera, el proyecto permitirá aumentar en 106.000 toneladas la producción de Aluar y el aumento de 250 millones de dólares de exportación, mediante una serie de inversiones para el impulso de diferentes segmentos productivos. En ese entonces, el presidente de la firma, Javier Madanes Quintanilla, explicó que el plan prevé la puesta en marcha de una nueva planta en la ciudad chubutense de Puerto Madryn y la creación de 600 puestos de trabajo, en línea con ""un compromiso de fuerte inversión en matriz energética"". ""Hay un compromiso fuerte de inversión de la matriz energética de la planta, que sea sustentable a largo plazo"", indicó el empresario, tras agregar que en la zona cuentan con un parque eólico para lograr ""entre 60 y 80 megavatios adicionales"". ",2023-01-10,Empresas
2,TSMC no alcanzó las expectativas por primera vez en dos años," Taiwan Semiconductor Manufacturing Company (TSMC), el fabricante de semiconductores más grande del mundo y la empresa taiwanesa de mayor valor, presentó los datos preliminares de ventas del último trimestre del 2022, los cuales no pudieron satisfacer las necesidades de Wall Street. De acuerdo a cálculos realizados por Bloomberg en base a cifras mensuales reportadas por la empresa, los ingresos del cuarto trimestre del año fueron de USD 20.600 millones o NT 625.500 millones, aproximadamente, lo que representa una mejora año a año del 43%. No obstante, los analistas del mercado esperaban alrededor de NT 636.000 millones. De esta forma, la tecnológica asiática no alcanzó las expectativas por primera vez en dos años, lo que demuestra que incluso con sus avances y ventajas competitivas no puede escapar de la desaceleración global en el gasto de los consumidores afectados por las altas tasas de interés y el crecimiento de la inflación. Ya el año pasado, TSMC había anunciado una reducción en sus planes de gastos de capital en alrededor de un 10% hasta los USD 36 mil millones, con algunos estrategas advirtiendo que se podrían retrasar aún más los gastos de expansión en este 2023. No obstante, a pesar de los ""malos"" resultados recientes, la compañía continúa creciendo y armando planes de expansión, como la construcción de una nueva planta en Estados Unidos que requirió una inversión de USD 40.000 millones. Mientras que esta segunda fábrica estará lista para el 2026, la primera estará operativa en 2024. Se prevé que ambas generen un total de ingresos anuales de USD 10.000 millones. Invertir en TSMC desde ArgentinaPara aquellos interesados, desde Argentina se puede invertir en TSMC de manera rápida y sencilla. Solo basta con abrir una cuenta comitente en una sociedad de bolsa regulada por la Comisión Nacional de Valores como lo es Bull Market Brokers, proceso gratuito que no llevará más de cinco minutos, y, tras depositar los fondos deseados, adquirir Cedears. Los Cedears o Certificados de Depósito Argentinos son instrumentos que equivalen a comprar la acción subyacente que cotiza en el exterior, pero se pueden operar en pesos (BCBA: TSM) y siguen la evolución del dólar CCL, por lo que permiten evadir el riesgo argentino y, a la vez, cubrirse de un eventual salto cambiario. ",2023-01-10,Empresas
3,Las empresas que cotizan en el Nasdaq que pueden tener potencial a futuro," Durante la pandemia de coronavirus, los valores tecnológicos se convirtieron en el ojito derecho del mercado y se sobrevaloraron. A partir del momento en el que la Reserva Federal comenzó con su política monetaria dura, los inversores comenzaron a tomar ganancias y a posicionarse en activos menos riesgosos.  El NASDAQ 100 es uno de los índices bursátiles más seguidos de la Bolsa estadounidense, el cual recoge los 100 valores de las compañías más importantes del sector de la industria de la tecnología, incluyendo empresas como Microsoft, Apple o Alphabet, pero también otras como el fabricante de vehículos eléctricos Tesla, o la plataforma de vídeo Netflix. El índice había sido uno de los grandes protagonistas de los últimos años, pero en 2022 registró su peor ejercicio desde la crisis financiera. En el global del NASDAQ 100 solo un cuarto de sus empresas mostraron ganancias, en general aquellas relacionadas con la salud o la energía, mientras que el índice rozó una caída acumulada del 33%, dejándose un 8,79% solo en diciembre. En este sentido, las conocidas como ""Big tech"" representan negocios sensibles a la situación de la economía y pueden verse afectados positiva o negativamente por distintos factores. TeslaUno de los grandes protagonistas negativos fue Tesla, que se desplomó un 36% en diciembre. Hace un año, el valor de mercado de Tesla superaba los 1,2 billones de dólares, más que la mayoría de las empresas automovilísticas juntas. Desde entonces, ha perdido el 71% de esa cifra, una cantidad que supera el valor de la mayor parte de la industria. Como resultado, la fortuna de su voluble jefe, Elon Musk, se ha reducido en más de 200.000 millones de dólares. El último golpe se produjo el 3 de enero, después de que Tesla incumpliera las expectativas de entregas de los analistas por tercer trimestre consecutivo e informara que la diferencia entre la producción y las entregas había aumentado, lo que sugiere una menor demanda de sus vehículos eléctricos. En un día perdió el 12% de su valor, unos 50.000 millones de dólares. MetaMeta Platforms, la matriz de Facebook, cayó un 64%. Amazon perdió un 49,6% y se situó con una capitalización bursátil por debajo del billón de dólares. RBC considera que hay razones para ser optimistas con la compañía de Zuckerberg. “Está mejorando su orientación y medición de anuncios, lo que creemos que tiene el potencial de restaurar su ventaja estructural e impulsar las ganancias en 2023 frente a sus rivales. Además, vemos una disminución de la cuota de ‘engagement’ perdida con TikTok, lo que impulsa un cambio narrativo que conduce a una expansión múltiple”, señalan. Asimismo, la firma canadiense destaca que Meta puede generar un crecimiento de los beneficios de más del 15 o 20% “una vez supere su elevado ciclo de inversión en torno a la IA”. AmazonEn el caso de Amazon, los expertos pronostican un año complicado: la venta online ha caído tras la reapertura económica, los clientes de Amazon Web Services están recortando sus gastos por la parte de la nube y el programa Prime está cerca de saturarse en Estados Unidos, su principal mercado. Asimismo, los propios economistas de la compañía señalaron el pasado diciembre en un documento filtrado que la compañía se estancaba cuando se centraba en recortar costes y la rentabilidad como está haciendo ahora. AlphabetPor la parte de Alphabet, los analistas coinciden en que la mayor amenaza a la que se enfrenta la compañía de Mountain View es la proliferación de soluciones de inteligencia artificial. En este sentido, los expertos del sector coinciden en que las grandes tecnológicas como Alphabet tienen herramientas suficientes para conseguir desarrollar inteligencias artificiales más avanzadas que ChatGPT o DALL-E y es un campo en el que se pronostica que haya una gran inversión. Asimismo, se intensificará el debate en torno a los límites de estas o la protección y el uso de datos personales. ",2023-01-09,Empresas
4,La startup argentina que llega a Nueva York ¡Enterate acá!," Una startup cordobesa, ideada por un grupo de exinvestigadores del Conicet, se expandió por fuera de las fronteras argentinas y abrió oficinas en Nueva York, Estados Unidos, donde busca consolidar su objetivo de determinar la mejor terapia contra el cáncer para cada paciente y aumentar la tasa de éxito en el desarrollo de nuevos medicamentos para la enfermedad, se informó hoy. Gracias a fondos de inversiones para empresas biotech, OncoPrecision, una empresa biotecnológica que desarrolla screenings o métodos de detección sistemática con células de pacientes apelando a la ""toxicidad selectiva"", llegó a Estados Unidos y avanza en la realización de un ensayo que le permita pasar de la etapa de investigación a la práctica. ""El principal objetivo de OncoPrecision es evaluar cuál es la mejor terapia que se le puede dar a un paciente antes de que comience a ser tratado. Hacemos un rastreo entre todas las drogas existentes y aprobadas, adaptado a la realidad de cada lugar"", aseguró Gastón Soria, exbecario doctoral de la Fundación Instituto Leloir (FIL) y director científico de la startup que hoy tiene 26 empleados y cofundó junto a Candelaria Llorens, Gerardo Gatti y Tarek Zaki. ""Lo que hacemos es exponer al mismo tiempo varios tipos de células, malignas y normales, de una muestra a distintas drogas, para detectar cuán activa y tóxica es cada una y poder elegir la mejor para ese paciente"", añadió Soria, según consignó una información provista por la agencia CyTA Leloir. El investigador aseguró que ""hay que sacarse los anteojos"" al momento de pensar que a todos los pacientes con un determinado tipo de cáncer hay que darles el mismo tratamiento inicial o de segunda línea. Estas células buscan engañar a las células malignas de manera de que se comporten como si estuvieran en el organismo del paciente. A cada uno de esos microavatares se les aplica una combinación de diferentes medicamentos, lo que permiten probar nuevas combinaciones de fármacos y evaluar de manera simultánea su toxicidad selectiva y general. En ese caso, el objetivo es encontrar el punto justo entre mayor eficacia y menor toxicidad. Por ahora, el enfoque se está estudiando en el marco de un ensayo clínico observacional y la idea es comenzar en los próximos meses con un análisis prospectivo de pacientes refractarios al tratamiento y con mal pronóstico, comparando la evolución de aquellos que utilizan o no esta metodología. Por el momento, trabajan con una red de 10 centros médicos que les derivan muestras, entre los que figuran el Cemic, Fundaleu, el Hospital Italiano y el Sanatorio Allende, de Córdoba. ",2023-01-09,Empresas
5,Estados Unidos aprueba el medicamento contra el alzhéimer de Biogen," La Administración de Alimentos y Medicamentos de Estados Unidos (FDA, por su sigla en inglés) aprobó el medicamento Leqembi de Biogen y Eisai que busca hacerle frente al mal de Alzheimer. El fármaco, también llamado Lecanemab, mostró indicios de reducir la placa amiloide cerebral, un marcador del alzhéimer, en un estudio que involucró a 865 personas con ""deterioro cognitivo leve o etapa de demencia leve de la enfermedad y presencia confirmada de patología beta amiloide"", según la agencia. En el comunicado de prensa de la FDA, se detalló que la enfermedad de Alzheimer, sufrida por más de 6,5 millones de estadounidenses, ""destruye lentamente la memoria y las habilidades de pensamiento y, eventualmente, la capacidad de realizar tareas simples"". En cuanto al medicamento de Biogen, el Dr. Bill Dunn, director de la Oficina de Neurociencia de la FDA, sostuvo que se trata de una ""opción de tratamiento es la terapia más reciente para atacar y afectar el proceso subyacente de la enfermedad de Alzheimer, en lugar de solo tratar los síntomas de la enfermedad"". A su vez, el organismo explicó que el fármaco puede generar dos efectos secundarios: reacciones relacionadas con la infusión y anomalías en las imágenes relacionadas con el amiloide (ARIA), que ""más comúnmente se presenta como una inflamación temporal en áreas del cerebro que generalmente gira con el tiempo y puede estar acompañada de pequeños puntos de sangrado en o sobre la superficie del cerebro"". De todas formas, un estudio publicado por Eisai mostró que el 13% de los pacientes tenían inflamación del cerebro y el 17% tenía pequeñas hemorragias cerebrales, mostrando indicios del retraso del deterioro. El medicamento costará alrededor de USD 26.500 por un año normal de tratamiento, precio que reflejaría el beneficio del fármaco en términos de mejor calidad de vida, una reducción de las cargas para los cuidadores y otros factores. Según Eisai, su valor real sería de más de USD 37.000 por año, pero el precio final será menor para reducir los costos para los pacientes y las aseguradoras. De acuerdo a Fox Business, un grupo independiente que evalúa el valor de los medicamentos dijo recientemente que Lecanemab tendría que tener un precio inferior a USD 20.600 por año para que sea rentable. Tras los anuncios, Christopher Viehbacher, actual director ejecutivo de Biogen, declaró que el enfoque de la empresa ""ahora está en el camino a seguir, trabajando junto con Eisai con el objetivo de hacer que Leqembi esté disponible para los pacientes que pueden beneficiarse de este tratamiento lo antes posible"". Invertir en Biogen desde ArgentinaPara aquellos interesados, desde Argentina se puede invertir en Biogen de manera rápida y sencilla. Solo basta con abrir una cuenta comitente en una sociedad de bolsa regulada por la Comisión Nacional de Valores como lo es Bull Market Brokers, proceso gratuito que no llevará más de cinco minutos, y, tras depositar los fondos deseados, adquirir Cedears. Los Cedears o Certificados de Depósito Argentinos son instrumentos que equivalen a comprar la acción subyacente que cotiza en el exterior (NASDAQ: BIIB), pero se pueden operar en pesos (BCBA: BIIB) y siguen la evolución del dólar CCL, por lo que permiten evadir el riesgo argentino y, a la vez, cubrirse de un eventual salto cambiario. ",2023-01-09,Empresas
6,Wells Fargo es optimista con este Cedear financiero," Si bien las tasas de interés crecieron en 2022 hasta el 4%, un nivel no visto en varios años, los principales bancos de Estados Unidos no se vieron beneficiados, tal como refleja el índice XLF del sector, que cayó un 17%. No obstante, este año la situación podría revertirse, en especial con un banco en particular: Bank of America. Mike Mayo y su equipo, analistas en Wells Fargo, proyectaron que las acciones de la compañía podrían crecer más de un 50% este año, superando los USD 50 y marcando un nuevo máximo histórico, ajustadas por dividendos. El principal motivo sería su alta adopción tecnológica. ""Hasta cierto punto, Bank of America es similar a un banco digital con presencia física. La escala amplifica los beneficios. Las sólidas capacidades tecnológicas amplifican la eficiencia a medida que el personal y las sucursales continúan disminuyendo, mientras que las transacciones digitales aumentan"", sostuvo el especialista. En el tercer trimestre del 2022, los 56 millones de usuarios digitales del banco iniciaron sesión un récord de 3.000 millones de veces, un 12% más que en el tercer trimestre de 2021. Además, la compañía movió un récord de USD 77.000 millones a través de su aplicación móvil Zelle, un 29% más año a año, y participó en un récord de 124 millones de interacciones con la asistente virtual del banco, Erica, un 28% interanualmente. ""La revolución tecnológica y el control de gastos diferencian a Bank of America"", indicó Mayo, quien pronosticó que los ingresos del banco crecerían en USD 10.000 millones este año, con los gastos solo aumentando en USD 3.000 millones. En tanto, espera una ganancia por acción (EPS) mejorando en 10 centavos hasta los USD 3,94 para 2023. Invertir en Bank of America desde ArgentinaPara aquellos interesados, desde Argentina se puede invertir en Bank of America de manera rápida y sencilla. Solo basta con abrir una cuenta comitente en una sociedad de bolsa regulada por la Comisión Nacional de Valores como lo es Bull Market Brokers, proceso gratuito que no llevará más de cinco minutos, y, tras depositar los fondos deseados mediante transferencia bancaria, adquirir Cedears. Los Cedears o Certificados de Depósito Argentinos son instrumentos que equivalen a comprar la acción subyacente que cotiza en el exterior (NYSE: BAC), pero se pueden operar en pesos (BCBA: BAC) y siguen la evolución del dólar CCL, por lo que permiten evadir el riesgo argentino y, a la vez, cubrirse de un eventual salto cambiario. ",2023-01-06,Empresas
7,General Motors es el nuevo líder de ventas de automóviles en EEUU," General Motors Corp. le quitó el liderazgo a la japonesa Toyota Motor Corp. convirtiéndose en el principal fabricante de coches de EE.UU. en 2022. La empresa y sus concesionarios vendieron 2,2 millones de unidades durante el año, lo que indica un aumento del 3% en comparación con 2021, contrarrestando así la caída general del mercado. Las ventas de automóviles en toda la industria cayeron un 8% interanual a 13,7 millones de coches en 2022,  de acuerdo el informe aportado por The Wall Street Journal. Esta situación se dio principalmente porque estas compañías tuvieron que lidiar con los desafíos de la cadena de suministro y la disminución de la demanda de los consumidores. Por su parte, Toyota, que ocupa el segundo lugar, comercializó 2,11 millones de unidades, lo que representa una caída del 9,6% en volumen y una disminución del 9,9% en la tasa de venta diaria. El fabricante de coches japonés, sin embargo, mejoró su rendimiento en el cuarto trimestre, cuando las ventas unitarias y el valor aumentaron un 13,1% cada uno. La unidad estadounidense de Hyundai Motor Company afirmó que vendió 724.265 unidades para 2022, lo que representa una disminución del 2%. Sin embargo, las ventas trimestrales aumentaron un 29% a un récord de 195.967 unidades. Las ventas en EE.UU. de Honda Motor Company  en 2022 cayeron un 32,9% a 983.507 unidades. Las ventas del mes de diciembre cayeron un 10,7% a 93.843 unidades. En tanto que las ventas de Nissan Motor Company Limited en 2022 y el cuarto trimestre cayeron un 25,4% y un 2%, respectivamente, a 729.350 unidades y 191.012 unidades, respectivamente. El problema de faltante de suministros perjudicó las ventas de vehículos en 2022, y la recuperación de las ventas en los últimos cinco meses del año no pudo mitigar la debilidad observada en el primer semestre, afirmó J.D. Power en un comunicado a fines de diciembre. Sin embargo, la firma dijo que los precios y la rentabilidad por unidad alcanzarán niveles récord en 2022 a pesar de que la producción limitada limita el volumen de ventas. Incluso con una posible recesión económica, la demanda acumulada de los consumidores de los últimos dos años mantendrá bajos los niveles de inventario y conducirá a otro año de “precios y rentabilidad relativamente saludables”. ",2023-01-05,Empresas
8,Qué está haciendo Elon Musk con Tesla y Twitter," A lo largo de estos días, en los cuales Elon Musk es el nuevo dueño y CEO de Twitter, hemos visto cómo su atención ha estado principalmente abocada a dicha red social, muchas veces por encima de Telsa, su empresa en régimen de oferta pública, lo que ha causado disgustos en la mayoría de los inversores de la empresa automotriz. El polémico multimillonario ha llevado a cabo cuestionadas decisiones dentro de la red social del pajarito, ha financiado la compra de Twitter de $44.000 millones con préstamos, terceros inversores y, además, su propio patrimonio, en el cual se contabilizaba más del 13 % de las acciones circulantes de Tesla. Desde abril de 2022, cuando manifestó por primera vez de manera seria su deseo de comprar Twitter, ha vendido aproximadamente 20 mil millones de dólares en acciones de Tesla, cuya cotización ha bajado un 60 % desde entonces y un 64 % desde su máximo histórico, en noviembre de 2021. Antes de esta decisión raramente vendía acciones de Tesla más que para pagar impuestos. La manera ilegal de inside trading es aquella por la cual alguien que pertenece a la empresa puede beneficiarse con una información exclusiva, que no tiene nadie por fuera de la empresa, actuando con ventaja contra el resto del público inversor. Cuando se hace de manera legal, quien lo hace debe informar a la SEC esta compra o venta. Si bien hay muchos motivos por los cuales un CEO o empleados de una empresa pueden vender acciones de una compañía, hay una lectura general en el mercado acerca de cuando estas acciones son compradas por la empresa misma (recompra de acciones) o su CEO o empleados: se espera que en el futuro esta suba. Peter Lynch menciona la compra de acciones por parte de empleados en su libro “Un paso por delante de Wall Street” como una de las características positivas a mirar en una empresa, y también se menciona la recompra de acciones por parte de la misma empresa en los diversos libros sobre las estrategias de Warren Buffett. Los motivos de buscar empresas con esta característica son muy simplesEn el caso de la compra de acciones por parte de los empleados, estos consideran que la empresa está trabajando de manera exitosa y esto se va a ver reflejado en el futuro. En el caso de la recompra de acciones, la misma empresa considera que tiene capital excedente suficiente como para recuperar acciones propias, elevando la métrica “ganancias por acción” y además aumentando la demanda de estas acciones, junto con la escasez de las mismas, lo que hace que el precio suba en el corto plazo, además de la favorable perspectiva que tiene la empresa para el largo plazo. Como conclusión, no podemos saber si el hecho de que un “insider” de la compañía venda acciones puede ser bueno o malo, pero sí sabemos que si personas de la misma compran acciones, generalmente significa una buena señal para la misma, por lo tanto es un dato a tener en cuenta en nuestros próximos análisis fundamentales. Lo que nos hace pensar que la conducta contraria de venta de acciones por el CEO de Tesla no genera buenas expectativas para dicho papel, o bien que ha perdido en todo o en parte su interés en esta empresa, aplicando la lógica inversa. ",2023-01-05,Empresas
9,Por qué Amazon despedirá a más de 18 mil empleados," El gigante del comercio electrónico Amazon anunció hoy que recortará su planta laboral en más de 18 mil puestos, superando lo que había anunciado inicialmente en noviembre pasado, de la mano de la desaceleración de la economía que afecta, en especial, al sector tecnológico. El CEO Andy Jassy, sucesor en el puesto del magnate Jeff Bezos desde mediados de 2021, informó anoche de los recortes a sus empleados. La empresa, que emplea cerca de 1,54 millones de personas en todo el mundo sin contar a los trabajadores temporarios contratados en periodos de mayor actividad como las fiestas, había anticipado en noviembre que los recortes afectarían a 10.000 personas. La reducción de la planta se concentrará en los puestos corporativos de su áreas de comercio, y en funciones de recursos humanos tanto en Estados Unidos como en Europa. “Amazon ha resistido una economía con dificultades y con incertidumbre en el pasado, y continuaremos haciendo eso. Estos cambios nos ayudarán a alcanzar nuestras oportunidades a largo plazo con una estructura de costos más fuerte”, señaló Jassy, según el comunicado interno difundido por las agencias de noticias Bloomberg, DPA y AFP. Si bien Amazon planeaba realizar un anuncio formal, un empleado filtró la noticia de forma anticipada al diario económico The Wall Street Journal. “Típicamente esperamos para comunicar sobre estas decisiones hasta que hablamos con las personas directamente impactadas. Sin embargo, como uno de nuestros colegas difundió esta información externamente, decidimos que era mejor compartir esta noticia antes para que puedan conocer los detalles directamente de mi boca”, señaló Jassy al confirmar la noticia. Los rumores de despidos flotaron en la empresa por meses, Amazon ya había congelado las contrataciones anteriormente, pero el incremento de los despidos anunciado hoy sugiere que las perspectivas empeoraron. Al igual que otras compañías tecnológicas, Amazon reconoció públicamente que contrató a demasiados empleados durante la pandemia, momento en el que el comercio electrónico experimentó un “boom” en la demanda debido a las restricciones a las compras presenciales. De hecho, entre principios de 2020 y el comienzo de 2022, Amazon duplicó su planta. Desde entonces, el crecimiento de las ventas online comenzó a ralentizarse de la mano del retorno de los hábitos previos por parte de los consumidores. Los inversores reaccionaron positivamente al anuncio de hoy, al pensar que los despidos aumentarán los márgenes de ganancia en la empresa y la cotización cotizaba con subas de casi el 1,8% en las transacciones previas a la apertura de Wall Street. La empresa, además de su negocio de venta de artículos, posee negocios en alojamiento en la nube (Amazon Web Services), dispositivos electrónicos como el e-book Kindle o el asistente digital Alexa, y en el negocio del entretenimiento (MGM y Prime Video). En el mensaje de hoy, Jassy les prometió a las personas que serán despedidas que recibirán indemnizaciones y seguros médicos de transición. Además de Amazon, una larga lista de firmas tecnológicas anunciaron despidos en los últimos meses, de la mano de la desaceleración de la economía y la consecuente reducción en los ingresos por publicidad. ",2023-01-05,Empresas
